Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,Gaslight,1944,Passed,16 Jun 1944,114 min,"Crime, Drama, Mystery",George Cukor,"John Van Druten, Walter Reisch, John L. Balderston","Charles Boyer, Ingrid Bergman, Joseph Cotten","Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife...","English, Italian",United States,Won 2 Oscars. 6 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNTU0Y2YyZTgtZWQ4ZC00YTNkLTgxMTktYTE3OTQ0Y2FjNTM2XkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.8,"32,059",tt0036855,movie,01 Jan 2009,N/A,N/A,N/A,
True,,Going My Way,1944,Passed,02 Oct 1944,126 min,"Comedy, Drama, Music",Leo McCarey,"Frank Butler, Frank Cavett, Leo McCarey","Bing Crosby, Barry Fitzgerald, Frank McHugh","When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.",English,United States,Won 7 Oscars. 19 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BODU3MDUzMzItNjk4Ni00ODQxLWI2NDUtNDIzMzc5YmYyMTYwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.0,"12,703",tt0036872,movie,16 Apr 2012,N/A,N/A,N/A,
True,,Since You Went Away,1944,Approved,20 Jul 1944,177 min,"Drama, Romance, War","John Cromwell, Edward F. Cline, Tay Garnett","Margaret Buell Wilder, David O. Selznick","Claudette Colbert, Jennifer Jones, Joseph Cotten","With her husband away to fight in World War II, a housewife must care for their two daughters alone.","English, Yiddish",United States,Won 1 Oscar. 1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTcyNDE3MjI0NV5BMl5BanBnXkFtZTgwODg0MTM1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}]",N/A,7.5,"4,843",tt0037280,movie,N/A,N/A,N/A,N/A,
True,,Wilson,1944,Passed,01 Aug 1945,154 min,"Biography, Drama, History",Henry King,Lamar Trotti,"Alexander Knox, Charles Coburn, Geraldine Fitzgerald",A chronicle of the political career of US President Woodrow Wilson.,English,United States,Won 5 Oscars. 7 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BNGU1OTMzNjItZGUxYy00NjE5LThkMzYtNjAyMTU1M2RhNjViXkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.4,"1,657",tt0037465,movie,18 Sep 2012,N/A,N/A,N/A,
True,,Anchors Aweigh,1945,Passed,13 Aug 1945,140 min,"Comedy, Fantasy, Musical","George Sidney, Joseph Barbera, William Hanna","Isobel Lennart, Natalie Marcin","Frank Sinatra, Kathryn Grayson, Gene Kelly",A pair of sailors on leave try to help a movie extra become a singing star.,"English, Spanish",United States,Won 1 Oscar. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3MzM0ZmEtZDc3Ni00N2FmLTk3NzQtYTc0ZThiMWFlZGM2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.0,"9,179",tt0037514,movie,04 Aug 2008,N/A,N/A,N/A,
True,,The Bells of St. Mary's,1945,Unrated,21 Feb 1946,126 min,Drama,Leo McCarey,"Dudley Nichols, Leo McCarey","Bing Crosby, Ingrid Bergman, Henry Travers","At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.","English, Latin, Swedish",United States,Won 1 Oscar. 6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWYyZjk5OGEtZTFhNS00OTg0LWJjNWEtYjlkOTQ1MjM1N2ZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,7.2,"8,822",tt0037536,movie,09 Aug 2020,"$21,333,333",N/A,N/A,
True,,The Lost Weekend,1945,Passed,01 Jan 1946,101 min,"Drama, Film-Noir",Billy Wilder,"Charles R. Jackson, Charles Brackett, Billy Wilder","Ray Milland, Jane Wyman, Phillip Terry",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,English,United States,Won 4 Oscars. 16 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.9,"39,085",tt0037884,movie,29 Mar 2016,N/A,N/A,N/A,
True,,Mildred Pierce,1945,Approved,20 Oct 1945,111 min,"Crime, Drama, Film-Noir",Michael Curtiz,"Ranald MacDougall, James M. Cain, William Faulkner","Joan Crawford, Jack Carson, Zachary Scott",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,"English, French",United States,Won 1 Oscar. 3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.9,"27,682",tt0037913,movie,31 Dec 2008,N/A,N/A,N/A,
True,,Spellbound,1945,Approved,28 Dec 1945,111 min,"Film-Noir, Mystery, Romance",Alfred Hitchcock,"Ben Hecht, John Palmer, Hilary St George Saunders","Ingrid Bergman, Gregory Peck, Michael Chekhov",A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,English,United States,Won 1 Oscar. 7 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ZjdmNjQtNWE0MC00MjVjLTg1MDItYzc5YTE1NGFkNjUzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.5,"50,826",tt0038109,movie,N/A,N/A,N/A,N/A,
True,,The Best Years of Our Lives,1946,Approved,29 May 1947,170 min,"Drama, Romance, War",William Wyler,"Robert E. Sherwood, MacKinlay Kantor","Myrna Loy, Dana Andrews, Fredric March","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",English,United States,Won 7 Oscars. 21 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",93,8.1,"68,028",tt0036868,movie,01 Dec 2012,"$23,650,000",N/A,N/A,
True,,It's a Wonderful Life,1946,PG,07 Jan 1947,130 min,"Drama, Family, Fantasy",Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra","James Stewart, Donna Reed, Lionel Barrymore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"English, French",United States,Nominated for 5 Oscars. 7 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.6,"478,289",tt0038650,movie,30 Nov 2016,"$1,483,643",N/A,N/A,
True,,The Razor's Edge,1946,Approved,25 Dec 1946,145 min,"Drama, Music, Romance",Edmund Goulding,"Lamar Trotti, W. Somerset Maugham, Darryl F. Zanuck","Tyrone Power, Gene Tierney, John Payne","An adventuresome young man goes off to find himself and loses his socialite fiancée in the process. But when he returns 10 years later, she will stop at nothing to get him back, even though she is already married.","English, French",United States,Won 1 Oscar. 3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNmIwMDA3MzMtODY4OC00NjkxLWIyNGQtMTVhOGY4Nzc5ZDI0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.3,"6,486",tt0038873,movie,19 Nov 2013,N/A,N/A,N/A,
True,,The Yearling,1946,Approved,01 May 1947,128 min,"Drama, Family, Western",Clarence Brown,"Paul Osborn, Marjorie Kinnan Rawlings, John Lee Mahin","Gregory Peck, Jane Wyman, Claude Jarman Jr.","A boy persuades his parents to allow him to adopt a young deer, but what will happen if the deer misbehaves?",English,United States,Won 2 Oscars. 3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjI0NjVhMDMtZTZmMy00MWYwLTkyMjQtMDEyMmVkYmJmOTQ5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.2,"6,263",tt0039111,movie,01 Apr 2009,N/A,N/A,N/A,
True,,The Bishop's Wife,1947,Not Rated,16 Feb 1948,109 min,"Comedy, Drama, Fantasy",Henry Koster,"Robert E. Sherwood, Leonardo Bercovici, Robert Nathan","Cary Grant, Loretta Young, David Niven",A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,"English, French",United States,Won 1 Oscar. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNjU4ZTEwY2UtMDg2OS00YTgxLTlkZTQtY2M1ZGM1YTc0NWFmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.6,"19,457",tt0039190,movie,05 Mar 2014,N/A,N/A,N/A,
True,,Crossfire,1947,Approved,15 Aug 1947,86 min,"Crime, Drama, Film-Noir",Edward Dmytryk,"John Paxton, Richard Brooks","Robert Young, Robert Mitchum, Robert Ryan","A man is murdered, apparently by one of a group of demobilized soldiers he met in a bar. But which one? And why?",English,United States,Nominated for 5 Oscars. 3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjM1ZmNmM2YtMzRhMS00N2EwLTg4ZGItNGJlYTA3ZDNhMzJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,7.3,"9,284",tt0039286,movie,02 Mar 2012,N/A,N/A,N/A,
True,,Gentleman's Agreement,1947,Not Rated,01 Mar 1948,118 min,"Drama, Romance",Elia Kazan,"Laura Z. Hobson, Moss Hart, Elia Kazan","Gregory Peck, Dorothy McGuire, John Garfield","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.",English,United States,Won 3 Oscars. 12 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTZhYWIxNmMtYzE2OS00YzljLWI2YTQtZTE0NDU5ZDQwZTc0L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,7.2,"17,293",tt0039416,movie,01 Mar 2013,N/A,N/A,N/A,
True,,Miracle on 34th Street,1947,Not Rated,04 Jul 1947,96 min,"Comedy, Drama, Family",George Seaton,"George Seaton, Valentine Davies","Edmund Gwenn, Maureen O'Hara, John Payne","After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mis...","English, Dutch",United States,Won 3 Oscars. 8 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.9,"51,465",tt0039628,movie,01 Mar 2013,N/A,N/A,N/A,
True,,Hamlet,1948,Approved,11 Jun 1948,154 min,Drama,Laurence Olivier,"William Shakespeare, Laurence Olivier","Laurence Olivier, Jean Simmons, John Laurie","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",English,United Kingdom,Won 4 Oscars. 16 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BM2Q3MDk4MzQtYzg1Ny00MGQ2LThjMzgtYWRjY2JlZTRkNjU0XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.6,"17,867",tt0040416,movie,23 Mar 2017,N/A,N/A,N/A,
True,,Johnny Belinda,1948,Unrated,14 Sep 1948,102 min,Drama,Jean Negulesco,"Irma von Cube, Allen Vincent, Elmer Harris","Jane Wyman, Lew Ayres, Charles Bickford","A kind doctor volunteers to tutor a deaf-mute woman, but scandal starts to swirl when his pupil is raped and falls pregnant.","English, American Sign ",United States,Won 1 Oscar. 6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTRiMzkzYmEtZGJiZC00NmNiLTk2ZGItNWNiOTg0ZjE1NWJjXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",N/A,7.7,"5,107",tt0040495,movie,21 Nov 2016,N/A,N/A,N/A,
True,,The Red Shoes,1948,Not Rated,20 Sep 1948,135 min,"Drama, Music, Romance","Michael Powell, Emeric Pressburger","Hans Christian Andersen, Emeric Pressburger, Keith Winter","Anton Walbrook, Marius Goring, Moira Shearer",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"English, French, Russian",United Kingdom,Won 2 Oscars. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BOWRmNGEwZjUtZjEwNS00OGZmLThhMmEtZTJlMTU5MGQ3ZWUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,8.1,"37,412",tt0040725,movie,23 Mar 2017,N/A,N/A,N/A,
True,,The Snake Pit,1948,Approved,13 Nov 1948,108 min,"Drama, Mystery",Anatole Litvak,"Frank Partos, Millen Brand, Mary Jane Ward","Olivia de Havilland, Mark Stevens, Leo Genn",A detailed chronicle of a woman during her stay in a mental institution.,"English, German, Russian",United States,Won 1 Oscar. 10 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNjc5ODU3YzItN2JmZS00ZmY2LWFmNGItYzBhYzA0NWI2MzIwXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.6,"8,144",tt0040806,movie,01 Jan 2013,"$10,000,000",N/A,N/A,
True,,All the King's Men,1949,Approved,01 Jan 1950,110 min,"Drama, Film-Noir",Robert Rossen,"Robert Penn Warren, Robert Rossen","Broderick Crawford, John Ireland, Joanne Dru","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",English,United States,Won 3 Oscars. 14 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjQyN2MwMjAtNmJmZS00OWZlLWE1NGQtOGZmYmRjZjIyNWEyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.4,"15,978",tt0041113,movie,01 May 2013,N/A,N/A,N/A,
True,,Battleground,1949,Approved,20 Jan 1950,118 min,"Action, Drama, History",William A. Wellman,Robert Pirosh,"Van Johnson, John Hodiak, Ricardo Montalban","True tale about a squad of the 101st Airborne Division coping with being trapped by the Germans in the besieged city of Bastogne, Belgium during the Battle of the Bulge in December of 1944.","English, French, German",United States,Won 2 Oscars. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYTYzOGIyNGQtZDljZi00NGYzLThkOTktNzNhMTM1M2Y1NDlhL2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,7.4,"7,640",tt0041163,movie,18 Aug 2008,N/A,N/A,N/A,
True,,The Heiress,1949,Not Rated,28 Dec 1949,115 min,"Drama, Romance",William Wyler,"Ruth Goetz, Augustus Goetz, Henry James","Olivia de Havilland, Montgomery Clift, Ralph Richardson",A naive young woman falls for a handsome young man her emotionally abusive father suspects is only a fortune hunter.,"English, French",United States,Won 4 Oscars. 9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjZjNmVmYTMtM2U1ZS00MzNmLWExODAtMTI5MDhkZDZmYTgwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"16,620",tt0041452,movie,N/A,N/A,N/A,N/A,
True,,A Letter to Three Wives,1949,Passed,03 Feb 1949,103 min,"Comedy, Drama, Romance",Joseph L. Mankiewicz,"Vera Caspary, John Klempner, Joseph L. Mankiewicz","Jeanne Crain, Linda Darnell, Ann Sothern","A letter is addressed to three wives from their ""best friend"" Addie Ross, announcing that she is running away with one of their husbands - but she does not say which one.","English, Spanish",United States,Won 2 Oscars. 5 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMzg0ZWQ1Y2EtYzBkMi00MTk0LWFhMTEtZGUwZTIzNGYyOWI0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.7,"10,272",tt0041587,movie,01 Mar 2013,N/A,N/A,N/A,
True,,Twelve O'Clock High,1949,Not Rated,13 Feb 1950,132 min,"Drama, War",Henry King,"Sy Bartlett, Beirne Lay Jr., Henry King","Gregory Peck, Hugh Marlowe, Gary Merrill",A hard-as-nails general (Gregory Peck as General Savage) takes over a B-17 bomber unit suffering from low morale and whips them into fighting shape.,English,United States,Won 2 Oscars. 5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNmI0YTA4OWYtYTc2MC00ZTgxLTliMjItMTlhNzczODViZmYxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,7.7,"15,359",tt0041996,movie,19 Nov 2013,N/A,N/A,N/A,
True,,All About Eve,1950,Passed,27 Oct 1950,138 min,Drama,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"English, French",United States,Won 6 Oscars. 27 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BYmE1M2Y3NTYtYTI0Mi00N2JlLTkzMzItOTY1MTlhNWNkMDgzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",98,8.2,"135,380",tt0042192,movie,01 Mar 2013,"$63,463",N/A,N/A,
True,,Born Yesterday,1950,Not Rated,01 Feb 1951,103 min,"Comedy, Drama, Romance",George Cukor,"Garson Kanin, Albert Mannheimer","Judy Holliday, William Holden, Broderick Crawford","A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results.",English,United States,Won 1 Oscar. 5 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BODBhOTdkMGYtMzRkYS00ZGU2LThlMjItMzRiNjAxMzNjMWRjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.5,"11,992",tt0042276,movie,01 Jan 2013,N/A,N/A,N/A,
True,,Father of the Bride,1950,Not Rated,16 Jun 1950,92 min,"Comedy, Drama, Romance",Vincente Minnelli,"Frances Goodrich, Albert Hackett, Edward Streeter","Spencer Tracy, Joan Bennett, Elizabeth Taylor","The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.",English,United States,Nominated for 3 Oscars. 5 nominations total,https://m.media-amazon.com/images/M/MV5BNzBlYzAxMjgtOGRmZS00ZmRjLWFmNjQtZjVjZTFlMzE3Y2MzXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.1,"12,185",tt0042451,movie,01 Jan 2009,"$8,838,592",N/A,N/A,
True,,King Solomon's Mines,1950,Passed,24 Nov 1950,103 min,"Action, Adventure, Romance","Compton Bennett, Andrew Marton","Helen Deutsch, H. Rider Haggard","Deborah Kerr, Stewart Granger, Richard Carlson",Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,English,United States,Won 2 Oscars. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYjZlOWFjNzktMDQ3OC00ODQxLWEzZjMtN2E0Y2MwM2FkMzE0XkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,6.7,"6,663",tt0042646,movie,01 Jan 2008,N/A,N/A,N/A,
True,,Sunset Blvd.,1950,Passed,04 Aug 1950,110 min,"Drama, Film-Noir",Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,English,United States,Won 3 Oscars. 19 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.4,"229,694",tt0043014,movie,01 Jul 2013,"$299,645",N/A,N/A,
True,,An American in Paris,1951,Passed,11 Nov 1951,114 min,"Drama, Musical, Romance",Vincente Minnelli,Alan Jay Lerner,"Gene Kelly, Leslie Caron, Oscar Levant",Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,"English, French, German",United States,Won 6 Oscars. 11 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMzFkNGM0YTUtZjY5Ny00NzBkLWE1NTAtYzUxNjUyZmJlODMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.2,"35,706",tt0043278,movie,15 Aug 2008,"$267,824",N/A,N/A,
True,,Decision Before Dawn,1951,Not Rated,25 Feb 1952,119 min,"Drama, War",Anatole Litvak,"Peter Viertel, George Howe, Jack Rollens","Richard Basehart, Gary Merrill, Oskar Werner","As the US Army approaches Nazi Germany, they recruit German prisoners to spy behind German lines.","English, French, German","United States, West Germany",Nominated for 2 Oscars. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTU5MzI3Njg4MF5BMl5BanBnXkFtZTgwOTM1NzIwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.2,"2,856",tt0043459,movie,22 Oct 2013,N/A,N/A,N/A,
True,,A Place in the Sun,1951,Passed,09 Nov 1951,122 min,"Drama, Romance",George Stevens,"Theodore Dreiser, Patrick Kearney, Michael Wilson","Montgomery Clift, Elizabeth Taylor, Shelley Winters",A poor boy gets a job working for his rich uncle and ends up falling in love with two women.,English,United States,Won 6 Oscars. 15 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMmNjMjE2ZDMtODQzYS00ZDc2LTk0ODgtNjI1NTNhZWI5MmE0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.7,"23,846",tt0043924,movie,06 Jun 2014,N/A,N/A,N/A,
